X  1.44429446, cosTheta -0.26731429, sinTheta  0.96360940,
X  1.44443131, cosTheta -0.27024718, sinTheta  0.96279098,
X  1.44450049, cosTheta -0.27174245, sinTheta  0.96237001,
X  1.44456909, cosTheta -0.27323383, sinTheta  0.96194765,
X  1.44463712, cosTheta -0.27472132, sinTheta  0.96152389,
X  1.44470457, cosTheta -0.27620490, sinTheta  0.96109877,
X  1.44477145, cosTheta -0.27768457, sinTheta  0.96067231,
X  1.44483777, cosTheta -0.27916031, sinTheta  0.96024451,
X  1.44490353, cosTheta -0.28063213, sinTheta  0.95981540,
X  1.44496874, cosTheta -0.28210001, sinTheta  0.95938500,
X  1.44503339, cosTheta -0.28356395, sinTheta  0.95895333,
X  1.44509750, cosTheta -0.28502393, sinTheta  0.95852040,
X  1.44516107, cosTheta -0.28647995, sinTheta  0.95808624,
X  1.44522410, cosTheta -0.28793201, sinTheta  0.95765085,
X  1.44528660, cosTheta -0.28938009, sinTheta  0.95721427,
X  1.44534856, cosTheta -0.29082419, sinTheta  0.95677651,
X  1.44541001, cosTheta -0.29226431, sinTheta  0.95633758,
X  1.44547094, cosTheta -0.29370043, sinTheta  0.95589751,
X  1.44553135, cosTheta -0.29513255, sinTheta  0.95545632,
X  1.44559125, cosTheta -0.29656066, sinTheta  0.95501402,
X  1.44565064, cosTheta -0.29798476, sinTheta  0.95457063,
X  1.44570953, cosTheta -0.29940484, sinTheta  0.95412617,
X  1.44576793, cosTheta -0.30082090, sinTheta  0.95368065,
X  1.44582583, cosTheta -0.30223293, sinTheta  0.95323410,
X  1.44588324, cosTheta -0.30364092, sinTheta  0.95278654,
X  1.44594017, cosTheta -0.30504487, sinTheta  0.95233798,
X  1.44599662, cosTheta -0.30644478, sinTheta  0.95188844,
X  1.44605260, cosTheta -0.30784063, sinTheta  0.95143794,
X  1.44610811, cosTheta -0.30923243, sinTheta  0.95098649,
X  1.44616315, cosTheta -0.31062017, sinTheta  0.95053412,
X  1.44621772, cosTheta -0.31200384, sinTheta  0.95008084,
X  1.44627184, cosTheta -0.31338344, sinTheta  0.94962667,
X  1.44632551, cosTheta -0.31475897, sinTheta  0.94917163,
X  1.44637873, cosTheta -0.31613042, sinTheta  0.94871574,
X  1.44643151, cosTheta -0.31749779, sinTheta  0.94825901,
X  1.44648385, cosTheta -0.31886108, sinTheta  0.94780146,
X  1.44653575, cosTheta -0.32022027, sinTheta  0.94734312,
X  1.44658723, cosTheta -0.32157537, sinTheta  0.94688399,
X  1.44663827, cosTheta -0.32292637, sinTheta  0.94642409,
X  1.44668890, cosTheta -0.32427328, sinTheta  0.94596345,
X  1.44673911, cosTheta -0.32561608, sinTheta  0.94550207,
X  1.44678891, cosTheta -0.32695478, sinTheta  0.94503999,
X  1.44683829, cosTheta -0.32828936, sinTheta  0.94457720,
X  1.44688728, cosTheta -0.32961984, sinTheta  0.94411374,
X  1.44693586, cosTheta -0.33094620, sinTheta  0.94364962,
X  1.44698405, cosTheta -0.33226844, sinTheta  0.94318486,
X  1.44703185, cosTheta -0.33358657, sinTheta  0.94271947,
X  1.44707927, cosTheta -0.33490057, sinTheta  0.94225347,
X  1.44712630, cosTheta -0.33621045, sinTheta  0.94178688,
X  1.44717295, cosTheta -0.33751621, sinTheta  0.94131972,
X  1.44721924, cosTheta -0.33881784, sinTheta  0.94085199,
